campaign_id,customer_id,campaign_date,channel,campaign_type,region,age,age_segment,gender,previous_spend,spend_tier,budget,duration_days,impressions,clicks,conversions,revenue,ctr,conversion_rate,roi
CMP-008,CUST-0001,2025-05-20,Email,Consideration,South,37,35-44,Male,356.91,Medium,3213.89,7,62085,3013,159,22142.02,0.0485,0.0528,5.8895
CMP-035,CUST-0002,2025-06-28,Social Media,Consideration,East,34,25-34,Male,540.21,High,2000.22,21,58097,1815,109,5821.44,0.0312,0.0601,1.9104
CMP-030,CUST-0003,2025-04-03,Paid Search,Conversion,West,42,35-44,Male,203.94,Medium,1282.6,30,35737,2020,216,42296.84,0.0565,0.1069,31.9774
CMP-024,CUST-0004,2025-06-12,Email,Consideration,East,29,25-34,Female,368.79,Medium,2940.58,10,92612,2839,185,28827.28,0.0307,0.0652,8.8033
CMP-021,CUST-0005,2025-01-17,Display Ads,Conversion,South,42,35-44,Female,1081.22,VIP,4778.71,10,164751,1586,75,9306.49,0.0096,0.0473,0.9475
CMP-010,CUST-0006,2025-05-30,Social Media,Consideration,Central,18,18-24,Female,467.98,Medium,2105.68,21,105579,3079,128,17275.03,0.0292,0.0416,7.204
CMP-011,CUST-0007,2025-03-06,Display Ads,Consideration,North,22,18-24,Female,117.26,Low,4524.78,30,73793,1324,56,6050.65,0.0179,0.0423,0.3372
CMP-008,CUST-0008,2025-05-09,Social Media,Awareness,North,55,55+,Female,145.66,Low,2812.26,10,67699,1887,83,10402.48,0.0279,0.044,2.699
CMP-011,CUST-0009,2025-01-29,Paid Search,Conversion,Central,46,45-54,Female,265.24,Medium,4611.8,14,267953,11903,617,111056.43,0.0444,0.0518,23.0809
CMP-035,CUST-0010,2025-06-05,Display Ads,Awareness,West,40,35-44,Male,182.03,Low,5027.16,21,235721,3382,129,20076.43,0.0143,0.0381,2.9936
CMP-024,CUST-0011,2025-05-22,Social Media,Retargeting,North,34,25-34,Female,109.9,Low,3203.93,10,66047,2282,163,8197.31,0.0346,0.0714,1.5585
CMP-033,CUST-0012,2025-05-28,Social Media,Retargeting,South,18,18-24,Male,196.7,Low,1528.54,21,55069,1610,84,10336.61,0.0292,0.0522,5.7624
CMP-004,CUST-0013,2025-01-28,Paid Search,Conversion,North,50,45-54,Male,61.11,Low,1279.21,10,53936,3174,213,25279.67,0.0588,0.0671,18.7619
CMP-035,CUST-0014,2025-04-13,Display Ads,Conversion,South,40,35-44,Female,108.78,Low,1148.49,7,16355,299,19,3159.42,0.0183,0.0635,1.7509
CMP-036,CUST-0015,2025-05-19,Paid Search,Retargeting,South,25,25-34,Male,139.27,Low,3977.68,7,105518,8528,836,122795.48,0.0808,0.098,29.8711
CMP-005,CUST-0016,2025-01-11,Paid Search,Consideration,North,47,45-54,Male,371.82,Medium,747.62,30,41451,1934,107,9511.12,0.0467,0.0553,11.7219
CMP-017,CUST-0017,2025-01-03,Social Media,Retargeting,East,18,18-24,Male,130.79,Low,3362.62,21,117358,4260,341,35540.32,0.0363,0.08,9.5692
CMP-005,CUST-0018,2025-06-17,Display Ads,Consideration,Unknown,21,18-24,Female,87.21,Low,387.94,30,14235,235,8,1259.91,0.0165,0.034,2.2477
CMP-018,CUST-0019,2025-05-06,Social Media,Awareness,East,38,35-44,Female,343.45,Medium,4740.88,14,209416,8704,411,37498.82,0.0416,0.0472,6.9097
CMP-029,CUST-0020,2025-02-08,Paid Search,Consideration,North,54,45-54,Male,152.1,Low,524.74,30,21667,1512,89,5035.08,0.0698,0.0589,8.5954
CMP-007,CUST-0021,2025-03-02,Social Media,Retargeting,West,52,45-54,Male,466.53,Medium,5084.6,10,291442,8767,480,76376.12,0.0301,0.0548,14.0211
CMP-007,CUST-0022,2025-03-20,Social Media,Awareness,West,37,35-44,Female,464.98,Medium,1431.18,10,61417,2749,109,6610.47,0.0448,0.0397,3.6189
CMP-033,CUST-0023,2025-03-08,Social Media,Conversion,Central,32,25-34,Male,520.03,High,3165.86,10,150750,5043,353,29835.39,0.0335,0.07,8.4241
CMP-033,CUST-0024,2025-05-18,Email,Conversion,South,33,25-34,Female,1336.47,VIP,2116.47,10,54459,3297,240,19346.79,0.0605,0.0728,8.1411
CMP-020,CUST-0025,2025-04-18,Social Media,Retargeting,East,26,25-34,Female,218.16,Medium,3634.99,21,204353,7232,631,69029.05,0.0354,0.0873,17.9902
